"Version","Modules","Error Correction","Data bits","Numeric","Alphanumeric","Binary"
,,"H",5.608,1.677,1.016,698
30,"137x137","L",13.88,4.158,2.52,1732
,,"M",10.984,3.289,1.994,1.37
,,"Q",7.88,2.358,1.429,982
,,"H",5.96,1.782,1.08,742
31,"141x141","L",14.744,4.417,2.677,1.84
,,"M",11.64,3.486,2.113,1.452
,,"Q",8.264,2.473,1.499,1.03
,,"H",6.344,1.897,1.15,790
32,"145x145","L",15.64,4.686,2.84,1952
,,"M",12.328,3.693,2.238,1.538
,,"Q",8.92,2.67,1.618,1.112
,,"H",6.76,2.022,1.226,842
33,"149x149","L",16.568,4.965,3.009,2.068
,,"M",13.048,3.909,2.369,1.628
,,"Q",9.368,2.805,1.7,1.168
,,"H",7.208,2.157,1.307,898
34,"153x153","L",17.528,5.253,3.183,2.188
,,"M",13.8,4.134,2.506,1722
,,"Q",9.848,2.949,1.787,1228
,,"H",7.688,2.301,1.394,958
35,"157x157","L",18.448,5.529,3.351,2.303
,,"M",14.496,4.343,2.632,1.809
,,"Q",10.288,3.081,1.867,1.283
,,"H",7888,2.361,1.431,983
36,"161x161","L",19.472,5.836,3.537,2.431
,,"M",15.312,4.588,2.78,1.911
,,"Q",10.832,3.244,1.966,1.351
,,"H",8.432,2.524,1.53,1.051
37,"165x165","L",20.528,6.153,3.729,2.563
,,"M",15.936,4.775,2.894,1.989
,,"Q",11.408,3.417,2.071,1.423
,,"H",8.768,2.625,1.591,1.093
38,"169x169","L",21.616,6.479,3.927,2.699
,,"M",16.816,5.039,3.054,2.099
,,"Q",12.016,3.599,2.181,1.499
,,"H",9.136,2.735,1.658,1139
39,"173x173","L",22.496,6.743,4.087,2.809
,,"M",17.728,5.313,3.22,2.213
,,"Q",12.656,3.791,2.298,1.579
,,"H",9.776,2927,1.774,1.219
40,"177x177","L",23.648,7.089,4.296,2.953
,,"M",18.672,5.596,3.391,2331
,,"Q",13.328,3.993,2420,1.663
,,"H",10.208,3057,1.852,1.273
